"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"1","WEST PUBLISHING CORPORATION","IT AND TELECOM- WEB-BASED SUBSCRIPTION",7391976,7391976,"12/22/17","5/10/23","12/22/17","5/31/21","DISTRICT OF COLUMBIA","ALL OTHER INFORMATION SERVICES","IGF::CL::IGF ACCESS TO LICENSE PLATE READER DATABASE"
"2","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",275630,275630,"12/13/17","2/11/20","12/13/17","1/12/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"3","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",985034.88,985034.88,"1/19/18","7/16/21","1/19/18","9/26/18","MINNESOTA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","9MM LUGER +P 124 GRAIN AMMUNITION - PN 53927"
"4","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",22304.48,22304.48,"1/26/18","1/17/22","1/26/18","4/26/18","GEORGIA","SMALL ARMS AMMUNITION MANUFACTURING","9MM 100 GRAIN AMMUNITION"
"5","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",324650,324650,"1/26/18","2/11/20","1/26/18","6/11/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 755 CASES OF .223 CALIBER 62-GRAIN DUTY AMMUNITION, PART #XM223SP1PB"
"6","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",1013122,NA,"2/15/03","5/31/17","2/15/03","2/15/03","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING",""
"7","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",1217764,NA,"2/15/03","5/31/17","2/15/03","2/15/03","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING",""
"8","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",37480,NA,"5/15/03","5/31/17","5/15/03","6/15/03","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING",""
"9","ELECTRO WATCHMAN INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",17916,NA,"2/15/03","5/31/17","2/15/03","1/15/04","DISTRICT OF COLUMBIA","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)",""
"10","IDENTIX INCORPORATED","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",1,NA,"4/15/03","5/31/17","4/15/03","4/15/03","DISTRICT OF COLUMBIA","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE",""
"11","ELECTRO WATCHMAN INC","INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",19321,NA,"8/15/03","5/31/17","8/15/03","8/15/04","DISTRICT OF COLUMBIA","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)",""
"12","VIDEOTRONIX INC","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",150994,NA,"9/15/03","5/31/17","9/15/03","3/15/04","DISTRICT OF COLUMBIA","COMPUTER SYSTEMS DESIGN SERVICES",""
"13","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",136415,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"14","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",136415,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"15","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",95416,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"16","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",90943,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"17","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",90943,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"18","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",42822,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"19","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",3294,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"20","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",3294,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"21","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",3294,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"22","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-54495,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"23","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-1956,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"24","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-3294,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"25","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-3294,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
